,Geneid,minuslog10pval,SPT5_T0vsSPT5_T15.padj,log2FC
0,Interval_1,3.866549148349748,0.000135972427695009,1.9214331324299498
2,Interval_3,0.02892133578237304,0.935575120509568,-0.21647990348466398
3,Interval_4,0.09988664189431806,0.794535594707396,0.7052826470170909
4,Interval_5,0.05772095966431984,0.8755461453014208,-0.28264372601061893
5,Interval_6,0.10436522998326526,0.7863841835811759,0.5615350208152521
6,Interval_7,0.037849887471861104,0.916537233603784,0.22920838318906697
8,Interval_9,0.02704309639896911,0.939630063509792,0.0832339536204004
10,Interval_11,2.6861514182945485,0.0020599115926521697,1.56849099831359
13,Interval_14,0.05182329600642008,0.887517047954534,0.36599194841599003
14,Interval_15,0.6266462240546764,0.23624018602895397,1.10336860437608
16,Interval_17,0.3916620765412046,0.405824183420193,1.38938212609793
17,Interval_18,0.31164406882857343,0.48792821361158506,0.9904438887260899
19,Interval_20,0.09018550992258177,0.8124833878163101,0.382219469877874
21,Interval_22,0.019598025270964988,0.955876918229606,0.145899189946314
22,Interval_23,3.323697399910757,0.00047457253441373,2.16054474963944
24,Interval_25,1.3787072471420379,0.0418112116187397,1.37607316775917
26,Interval_27,0.030356006917294284,0.9324895919160491,-0.282459795770507
27,Interval_28,0.10436522998326526,0.7863841835811759,0.542017213853597
28,Interval_29,0.45388921460763854,0.35165013250237304,0.92293358724595
29,Interval_30,0.2804125730150898,0.5243091380471839,0.967797844448386
31,Interval_32,0.06784601098734137,0.855369950044209,0.44031270594839794
33,Interval_34,0.5018882072413038,0.31485586876551697,1.06071479099748
34,Interval_35,0.10122587451731646,0.7920892614329259,-0.621899443262692
36,Interval_37,0.0019282240582765096,0.995569941812442,0.0043385751759649396
38,Interval_39,0.0827141566561589,0.826581809055639,0.34939264630011
39,Interval_40,0.02892133578237304,0.935575120509568,0.13716895745079302
40,Interval_41,0.08003877604464088,0.8316895102712059,-0.419162935744313
41,Interval_42,0.11991933251313174,0.758718489161278,0.34874226946587705
42,Interval_43,0.06784601098734137,0.855369950044209,0.306652470913065
45,Interval_46,0.08003877604464088,0.8316895102712059,-0.38476925103455895
47,Interval_48,0.02704309639896911,0.939630063509792,0.108561731961965
50,Interval_51,0.500879654120447,0.315587901721253,1.22237843767863
53,Interval_54,0.04993965333325846,0.8913747890286929,0.34200910513632105
54,Interval_55,0.6357296871647881,0.231350430956803,1.23047787494781
56,Interval_57,0.6892059621752137,0.204547434979428,-2.04208185483211
62,Interval_63,0.03505907521057975,0.922445942266058,0.29284457950409004
63,Interval_64,0.010042702331154106,0.9771411380957941,-0.0504334748361606
67,Interval_68,0.2804125730150898,0.5243091380471839,-0.8250760139049851
68,Interval_69,0.03553173554186168,0.921442552979181,0.23409232069256
69,Interval_70,0.26709625310745566,0.540634488320271,-0.7235854594286341
70,Interval_71,0.004793309938598145,0.989023680255364,0.0229620347059063
71,Interval_72,0.02704309639896911,0.939630063509792,-0.11597855799203201
72,Interval_73,0.02892133578237304,0.935575120509568,-0.217745340527948
73,Interval_74,0.07980537522495353,0.832136601340863,-0.38717736698785
75,Interval_76,0.04541562299272432,0.9007087401653159,-0.258974676422904
76,Interval_77,1.6890393866465634,0.0204625905081438,-2.08243627747134
77,Interval_78,0.06401704792041785,0.8629446728238911,-0.321497571010609
78,Interval_79,0.0019282240582765096,0.995569941812442,-0.0035087885535217103
82,Interval_83,0.19547306412939405,0.63756862317531,-0.551155167586207
84,Interval_85,0.04923078932878989,0.8928308965305971,-0.236184091226115
87,Interval_88,0.8699079995547822,0.13492486756123598,-1.19021688519889
89,Interval_90,0.029616319116492918,0.9340791559744699,-0.259057099901474
93,Interval_94,0.23936365405284774,0.5762837133656129,0.5312220580275171
94,Interval_95,0.10186370868314217,0.790926799567374,-0.6548245024300661
95,Interval_96,0.02892133578237304,0.935575120509568,0.176850830081742
96,Interval_97,0.029613190422108433,0.9340858851843921,-0.247159564826203
97,Interval_98,0.05772095966431984,0.8755461453014208,-0.40316147333044394
98,Interval_99,0.4290153882726629,0.37237851160478597,-1.07318260491272
99,Interval_100,0.03372523896342174,0.9252833792003399,-0.276151149612347
100,Interval_101,0.03372523896342174,0.9252833792003399,0.27714054510287894
101,Interval_102,0.004793309938598145,0.989023680255364,-0.0249411071741213
102,Interval_103,0.02704309639896911,0.939630063509792,-0.0907932695382224
103,Interval_104,0.06784601098734137,0.855369950044209,0.326251615211243
104,Interval_105,0.17190957950605928,0.6731167852043269,-0.7299021486211209
106,Interval_107,0.010042702331154106,0.9771411380957941,0.0722202479251311
107,Interval_108,0.24025407199353915,0.575103390545968,1.1165891915133201
108,Interval_109,0.055926906994958704,0.8791704712880508,-0.339975864669035
109,Interval_110,0.0827141566561589,0.826581809055639,0.5281955568597511
110,Interval_111,0.044322205204403296,0.9029793003825551,0.210321968615064
111,Interval_112,0.0827141566561589,0.826581809055639,-0.589626123126425
112,Interval_113,0.1077575827674521,0.7802655225211221,0.550039975520689
113,Interval_114,0.03774344412937686,0.916761899694048,-0.27757579321424297
119,Interval_120,0.08205485407738379,0.8278375961035579,-0.48936425535306893
122,Interval_123,0.1526561147693053,0.7036292505944051,0.9248313385784179
123,Interval_124,0.850574845340958,0.141066910394578,1.6611556458568701
128,Interval_129,0.33697817545540654,0.460279703376759,1.43496805522634
131,Interval_132,0.02704309639896911,0.939630063509792,-0.12539330993182002
132,Interval_133,0.500879654120447,0.315587901721253,-1.69937679021506
133,Interval_134,0.07263439375587576,0.8459907338761741,0.579869409688942
134,Interval_135,1.13879530674706,0.0726448268996279,1.8674362437444898
135,Interval_136,0.04671022815342989,0.8980277806375658,-0.21645248604293696
137,Interval_138,0.1316927298459401,0.738426493672532,0.7221292067739169
140,Interval_141,0.26709625310745566,0.540634488320271,0.541802047139249
141,Interval_142,0.6298325868054595,0.23451326501673397,1.7584953427375098
142,Interval_143,0.26879009916399016,0.53852999900461,1.08243897203456
145,Interval_146,0.09988664189431806,0.794535594707396,0.380201232858921
147,Interval_148,0.16963594869860543,0.67664994569905,0.5614503964688671
150,Interval_151,0.02704309639896911,0.939630063509792,0.225926814901876
151,Interval_152,0.500879654120447,0.315587901721253,0.997470144500086
154,Interval_155,0.17806539219113202,0.663643137411668,-0.879561069953894
157,Interval_158,0.07204344610405908,0.8471426631459391,0.43998203378454404
158,Interval_159,0.1436449393398766,0.71838136924601,0.502861476104678
159,Interval_160,0.08003877604464088,0.8316895102712059,0.43596200080314296
161,Interval_162,0.04541562299272432,0.9007087401653159,0.38130704900991796
164,Interval_165,0.0827141566561589,0.826581809055639,0.652024294537678
167,Interval_168,1.6397836176334133,0.0229200933633674,1.4235571266876499
168,Interval_169,1.3155357128461438,0.0483575497350951,1.5535996138994599
169,Interval_170,0.13767046104021474,0.7283322472316339,0.871537364945483
177,Interval_178,3.1203119538899178,0.000758032884120602,-2.30952082122948
180,Interval_181,0.585810734354068,0.259531015252766,-1.37931346776155
184,Interval_185,0.055926906994958704,0.8791704712880508,0.35386004741030397
185,Interval_186,0.03769402947987787,0.9168662161133578,-0.20061659843055699
187,Interval_188,0.15292578508288315,0.70319247548024,-0.9428693195976271
191,Interval_192,0.06784601098734137,0.855369950044209,-0.45214480431172704
192,Interval_193,0.7170456169955811,0.19184672200186398,1.46577347904399
193,Interval_194,0.02704309639896911,0.939630063509792,-0.149281504548509
194,Interval_195,0.02704309639896911,0.939630063509792,0.163890322924615
197,Interval_198,0.029613190422108433,0.9340858851843921,-0.17319270247625998
198,Interval_199,0.16905150420578055,0.677561148960813,-0.6707029104745931
204,Interval_205,0.07784107985036026,0.8359088440284659,-0.43235516769377796
205,Interval_206,0.243997908722988,0.570167017824051,0.642953748196723
207,Interval_208,0.045256790353339654,0.9010382127153531,0.239316092847245
208,Interval_209,0.021156892043463434,0.9524520216382909,-0.0995533876509929
209,Interval_210,0.005121820122851773,0.9882758432152049,-0.0457479951323184
210,Interval_211,0.16905150420578055,0.677561148960813,0.548392865479328
212,Interval_213,0.02142220992069843,0.9518703302177169,-0.167826900312823
213,Interval_214,0.02704309639896911,0.939630063509792,0.142039703321891
214,Interval_215,0.06784601098734137,0.855369950044209,0.291589442961053
216,Interval_217,0.2115533488426179,0.614393554812344,0.720299171412638
219,Interval_220,0.15449316527293516,0.7006592094314389,-0.889377144897593
220,Interval_221,0.9051171206158076,0.12441790360929302,-0.720234014419637
221,Interval_222,0.02704309639896911,0.939630063509792,-0.21010097579110498
223,Interval_224,0.07204344610405908,0.8471426631459391,-0.5571873745264929
225,Interval_226,0.01324179403223651,0.969969784913939,-0.0618855595979487
228,Interval_229,0.11743689341911376,0.763067763164432,0.6601315479051
229,Interval_230,0.2804125730150898,0.5243091380471839,-1.07977309326786
231,Interval_232,0.08709462331687079,0.818286481893399,0.595985257720549
232,Interval_233,0.18152570655573894,0.658376458478769,-1.03722792997166
236,Interval_237,0.03307257404276566,0.926674955725721,0.278581831366363
237,Interval_238,0.6134007786699697,0.24355621784588397,-0.9115605374309921
238,Interval_239,0.029616319116492918,0.9340791559744699,0.205146075912686
239,Interval_240,0.15970450629134042,0.692301852478025,-0.9648692314457679
240,Interval_241,0.04923078932878989,0.8928308965305971,-0.35747746743171604
241,Interval_242,0.08003877604464088,0.8316895102712059,-0.31327218407461
243,Interval_244,0.021156892043463434,0.9524520216382909,0.10765323985992899
247,Interval_248,0.021156892043463434,0.9524520216382909,0.0788634986545525
248,Interval_249,2.6299069527100407,0.00234473111851635,-2.5131199659333903
250,Interval_251,1.636744950470161,0.0230810227749261,-4.01174723254707
251,Interval_252,0.07367666843517168,0.8439628529558321,-0.260435392463021
253,Interval_254,1.9533183286906521,0.0111347807847145,-1.9045617308691698
255,Interval_256,0.021156892043463434,0.9524520216382909,0.155670993960327
260,Interval_261,0.20607071351325204,0.622198968069923,-0.5909503308930439
263,Interval_264,0.002340219295442933,0.9946259381510469,-0.0091114168618245
265,Interval_266,0.7218544268700182,0.18973417932046105,-1.67802226181703
267,Interval_268,0.06401704792041785,0.8629446728238911,0.37765320901433796
269,Interval_270,0.06784601098734137,0.855369950044209,0.333421713034177
271,Interval_272,0.25582435907584294,0.554850064586082,-0.736097777160091
274,Interval_275,0.47371875235128086,0.335955107211252,-1.1125954898958001
276,Interval_277,0.02704309639896911,0.939630063509792,0.136559343788514
277,Interval_278,0.10122587451731646,0.7920892614329259,0.474602083179339
278,Interval_279,0.010012555206809975,0.977208969991146,-0.0708263873062344
279,Interval_280,0.04230352858351951,0.9071862757202042,0.21576866627562802
281,Interval_282,1.9415392222388863,0.0114409154933428,-2.08100373383522
282,Interval_283,0.010042702331154106,0.9771411380957941,-0.0822114666835284
284,Interval_285,0.02704309639896911,0.939630063509792,0.122455211961506
285,Interval_286,0.06610618217134505,0.858803523968524,0.503751781670898
286,Interval_287,0.10122587451731646,0.7920892614329259,0.435954609866533
287,Interval_288,0.015221572814902305,0.9655581349473961,0.0858872445106046
288,Interval_289,0.4113978194037305,0.387794977993161,-1.30804008096697
290,Interval_291,0.05072132183458523,0.889771883704678,-0.4253154392863929
291,Interval_292,0.044322205204403296,0.9029793003825551,0.287761282684034
295,Interval_296,0.02704309639896911,0.939630063509792,0.14571082988373
302,Interval_303,0.26879009916399016,0.53852999900461,-1.03213499782121
303,Interval_304,0.10436522998326526,0.7863841835811759,0.415787142094729
306,Interval_307,0.0436542319097577,0.9043692101689741,-0.36144483040804104
308,Interval_309,0.08205485407738379,0.8278375961035579,-0.550864247782732
312,Interval_313,0.25984769139283354,0.549733633579866,-1.2039607722962902
313,Interval_314,0.015221572814902305,0.9655581349473961,0.11010170897218802
314,Interval_315,0.02892133578237304,0.935575120509568,-0.11638426231806802
315,Interval_316,0.029616319116492918,0.9340791559744699,0.20852307097881898
317,Interval_318,0.002340219295442933,0.9946259381510469,0.0088603362424559
319,Interval_320,0.22483048911297412,0.595894683729937,-0.5886486926241751
321,Interval_322,0.10436522998326526,0.7863841835811759,0.503538064317895
326,Interval_327,0.19828042703890844,0.633460549185204,-0.8119997188347359
327,Interval_328,0.2248592746368987,0.59585518847283,0.816782383349222
328,Interval_329,0.26879009916399016,0.53852999900461,0.788423342419347
329,Interval_330,0.20517972174746738,0.623476772053445,-0.748450702861895
330,Interval_331,0.2777236847264268,0.527565412583399,-1.34882409264108
331,Interval_332,0.018266801265209867,0.958811421420141,0.0846946725381945
332,Interval_333,0.13836315344914976,0.727171495458344,0.597448318298897
334,Interval_335,0.003227428610626524,0.992596115786388,0.0176659195087569
335,Interval_336,0.044322205204403296,0.9029793003825551,-0.330658129076771
336,Interval_337,0.08003877604464088,0.8316895102712059,-0.337140187813016
337,Interval_338,0.044322205204403296,0.9029793003825551,-0.324897243073288
338,Interval_339,0.05182329600642008,0.887517047954534,-0.46201974282619
339,Interval_340,0.03474721012987906,0.923108584794077,0.29698612275177805
341,Interval_342,0.04541562299272432,0.9007087401653159,-0.325333983639632
342,Interval_343,0.0827141566561589,0.826581809055639,0.6744202133901259
343,Interval_344,0.22483048911297412,0.595894683729937,0.506276964125841
344,Interval_345,0.25984769139283354,0.549733633579866,-1.20262719683181
345,Interval_346,1.0013555983278948,0.0996883485941563,0.900061787152394
346,Interval_347,0.30953549960720494,0.49030294336648605,0.9013261445124351
347,Interval_348,0.029616319116492918,0.9340791559744699,-0.283758051375671
348,Interval_349,0.02704309639896911,0.939630063509792,0.21348521166705803
349,Interval_350,2.2325866333817155,0.005853469592329161,-1.720494836207
351,Interval_352,3.687846725842026,0.00020518862166704198,1.81369993064046
352,Interval_353,2.123971253010632,0.00751672647379957,3.2593274891389603
353,Interval_354,0.4630436704177698,0.34431530644753394,1.65059835143693
355,Interval_356,0.25984769139283354,0.549733633579866,-2.30195427341409
356,Interval_357,0.10436522998326526,0.7863841835811759,0.4339241870515471
361,Interval_362,0.04390853299274638,0.9038398118936071,0.20031436583637396
362,Interval_363,0.0862565108801204,0.819867156491798,0.6946244368904511
365,Interval_366,0.13264480221277883,0.736809467795497,-0.875050064045119
366,Interval_367,0.05772095966431984,0.8755461453014208,-0.432752638976123
367,Interval_368,0.015221572814902305,0.9655581349473961,0.0492622570213515
368,Interval_369,0.06784601098734137,0.855369950044209,0.4477300686833
